url,title,content_preview,scraped_at,error,links_count,images_count
https://httpbin.org/html,No Title,"Herman Melville - Moby-Dick Availing himself of the mild, summer-cool weather that now reigned in these latitudes, and in preparation for the peculiarly active pursuits shortly to be anticipated, Pert...",2025-12-01 12:22:26,,0,0
https://httpbin.org/json,No Title,"{ ""slideshow"": { ""author"": ""Yours Truly"", ""date"": ""date of publication"", ""slides"": [ { ""title"": ""Wake up to WonderWidgets!"", ""type"": ""all"" }, { ""items"": [ ""Why WonderWidgets are great"", ""Who buys Wond...",2025-12-01 12:22:28,,0,0
